 x_m, y_m, vx_mps,# s_m, psi_rad, kappa_radpm, ax_mps2
28.4805319,7.9552153,6.29035,32.3892297,0.254673,0.0423264,0.0095412
28.3651703,8.385896,6.2910323,32.8390801,0.266828,0.0160292,0.005021
28.2592075,8.7700674,6.2913913,33.2889305,0.2706419,0.0040609,0.0050213
28.1453192,9.1802143,6.2917503,33.7387809,0.270467,-0.0043976,0.0050216
28.026374,9.6117505,6.2921093,34.1886313,0.2669403,-0.011122,0.0050219
27.9052406,10.0600899,6.2924684,34.6384817,0.2603591,-0.0171342,0.0050221
27.7847877,10.5206462,6.2928274,35.0883322,0.2507825,-0.0231263,0.0050224
27.6678838,10.9888332,6.2931864,35.5381826,0.2380745,-0.029673,0.0050227
27.5573978,11.4600648,6.2935454,35.988033,0.2219108,-0.0373652,0.0040919
27.4557286,11.9320001,6.2938379,36.4378834,0.2018838,-0.0433712,0.0015666
27.3639547,12.4049631,6.2939499,36.8877338,0.181658,-0.0405746,0.0015667
27.2827578,12.8716236,6.2940619,37.3375842,0.1631092,-0.0377236,0.0015667
27.2111824,13.3310089,6.2941738,37.7874346,0.1462467,-0.0347866,0.0015667
27.148273,13.7821462,6.2942858,38.237285,0.1310912,-0.0317203,0.0015668
27.0930744,14.2240627,6.2943978,38.6871354,0.1176778,-0.0284666,0.0015668
27.0446311,14.6557856,6.2945098,39.1369859,0.1060608,-0.0249474,0.0015668
27.0019876,15.0763419,6.2946217,39.5868363,0.0963179,-0.021059,0.0015536
26.9641174,15.4855592,6.2947328,40.0366867,0.0885437,-0.0166012,-0.0003256
26.9207474,15.9914922,6.2947095,40.4865371,0.0837504,-0.0016165,-0.0003256
26.8796102,16.4755962,6.2946862,40.9363875,0.0873066,0.0170866,-0.0003256
26.8365295,16.9377021,6.294663,41.3862379,0.1004139,0.0404412,-0.0003256
26.7873289,17.3776405,6.2946397,41.8360883,0.124476,0.0695574,-0.0003256
26.7278323,17.7952425,6.2946164,42.2859387,0.161093,0.1055723,-0.0003256
26.6538633,18.1903389,6.2945932,42.7357892,0.2119831,0.1492525,-0.0037969
26.5471738,18.6117483,6.2943218,43.1856396,0.2867259,0.1887296,-0.0063114
26.3999261,19.0394794,6.2938707,43.63549,0.3782988,0.2142071,-0.006311
26.2174831,19.4408399,6.2934196,44.0853404,0.4757792,0.2249655,-0.0063105
25.9972376,19.8210665,6.2929685,44.5351908,0.5737254,0.2176839,-0.00631
25.7365823,20.185396,6.2925174,44.9850412,0.6665632,0.1945831,-0.0040885
25.4508646,20.5197148,6.2922252,45.4348916,0.7454221,0.1622778,-0.0003409
25.1602633,20.8152898,6.2922008,45.884742,0.8063883,0.1330663,-0.0003409
24.8406969,21.1056129,6.2921764,46.3345925,0.8585363,0.1094766,-0.0003409
24.4946647,21.3907545,6.292152,46.7844429,0.9031915,0.0904916,-0.0003409
24.1246663,21.6707851,6.2921277,47.2342933,0.9414857,0.0751757,-0.0003409
23.7332014,21.9457751,6.2921033,47.6841437,0.9743614,0.0627409,0.000937
23.3379107,22.2061211,6.2921703,48.1339941,1.0015712,0.0515465,0.0046141
22.9722524,22.4348779,6.2925002,48.5838445,1.0210625,0.0391066,0.0046144
22.5959977,22.661434,6.29283,49.0336949,1.0357382,0.0279464,0.0046146
22.2107794,22.8869301,6.2931599,49.4835453,1.0459125,0.0178193,0.0046149
21.8182306,23.1125071,6.2934898,49.9333958,1.0518396,0.0085011,0.0046151
21.4199839,23.3393058,6.2938197,50.3832462,1.0537164,-0.0002083,0.0046154
21.0176725,23.568467,6.2941495,50.8330966,1.0516873,-0.0084856,0.0040162
20.6155633,23.7996056,6.2944366,51.282947,1.0459153,-0.0159148,0.0005308
20.2279307,24.0260787,6.2944745,51.7327974,1.037863,-0.0199613,0.0005308
19.8407888,24.2569555,6.2945124,52.1826478,1.0279393,-0.0240867,0.0005308
19.4553926,24.4925102,6.2945504,52.6324982,1.0161014,-0.0283595,0.0005308
19.0729975,24.7330172,6.2945883,53.0823486,1.002286,-0.0328472,0.0005308
18.6948584,24.9787507,6.2946262,53.5321991,0.9864094,-0.0376174,0.0005308
18.3222305,25.229985,6.2946642,53.9820495,0.968368,-0.0427388,0.0005308
17.956369,25.4869946,6.2947021,54.4318999,0.9480378,-0.0482814,-0.0006118
17.5830906,25.7615963,6.2946584,54.8817503,0.9249295,-0.0503498,-0.0010874
17.2134564,26.0471056,6.2945807,55.3316007,0.9012062,-0.0513339,-0.0010874
16.8551285,26.3377878,6.294503,55.7814511,0.8771749,-0.0529428,-0.0010874
16.5091891,26.6326239,6.2944252,56.2313015,0.852614,-0.0552569,-0.0010874
16.1767206,26.9305949,6.2943475,56.6811519,0.8272797,-0.058389,-0.0010874
15.8588055,27.2306819,6.2942698,57.1310023,0.8008977,-0.0624938,-0.0010873
15.5565261,27.531866,6.2941921,57.5808528,0.7731531,-0.0677815,-0.0012983
15.2359089,27.8714195,6.2940993,58.0307032,0.739601,-0.0764728,-0.0013894
14.9231299,28.2275599,6.294,58.4805536,0.7008952,-0.0870478,-0.0013894
14.6345641,28.5843536,6.2939007,58.930404,0.6583666,-0.0984895,-0.0013893
14.3704575,28.9423738,6.2938014,59.3802544,0.611881,-0.1106206,-0.0013893
14.1310559,29.3021934,6.2937021,59.8301048,0.5613802,-0.123147,-0.0013893
13.9166054,29.6643853,6.2936028,60.2799552,0.5069099,-0.1356412,-0.0034349
13.7138959,30.0575749,6.2933573,60.7298056,0.4443185,-0.1464311,-0.0040533
13.5361176,30.4652182,6.2930675,61.1796561,0.3777772,-0.1517353,-0.0040532
13.3867212,30.8820571,6.2927778,61.6295065,0.3105925,-0.1505626,-0.004053
13.2645092,31.3111902,6.2924881,62.0793569,0.2448506,-0.1431036,-0.0040528
13.1682842,31.7557164,6.2921983,62.5292073,0.182459,-0.13055,-0.0012671
13.0996841,32.1963587,6.2921077,62.9790577,0.1276067,-0.1145592,0.0034549
13.0556638,32.615746,6.2923547,63.4289081,0.0826365,-0.0991483,0.003455
13.028692,33.0495275,6.2926017,63.8787585,0.0425263,-0.0858093,0.0034551
13.0178543,33.4968503,6.2928487,64.3286089,0.0067764,-0.074317,0.0034553
13.0222368,33.9568612,6.2930957,64.7784594,-0.0250721,-0.0644318,0.0034554
13.0409253,34.4287073,6.2933427,65.2283098,-0.0534316,-0.0559234,0.0032305
13.0721052,34.9000805,6.2935736,65.6781602,-0.078082,-0.0480972,0.0022474
13.1099629,35.3301284,6.2937343,66.1280106,-0.0968921,-0.0392523,0.0022475
13.1559836,35.7671359,6.2938949,66.577861,-0.1123761,-0.0313906,0.0022476
13.2089044,36.2103452,6.2940556,67.0277114,-0.1247805,-0.0243251,0.0022476
13.2674627,36.6589988,6.2942162,67.4775618,-0.1343073,-0.0178924,0.0022477
13.3303957,37.1123392,6.2943768,67.9274122,-0.1411179,-0.0119491,0.0022477
13.3964408,37.5696087,6.2945375,68.3772627,-0.145336,-0.0063693,0.0020722
