X,Y,velocity
0.0,0.0,2.1761076708221747
-0.383936998609612,-0.10320847281061823,7.041042856543978
-0.7678753496826622,-0.20641169488089267,7.3283428581731815
-1.151814018982386,-0.3096112573442502,7.615642859802385
-1.5357522109420796,-0.41280906956082436,7.615642859802385
-1.9196891299950265,-0.5160067226640551,7.902942861431589
-2.3036237419044885,-0.6192059669007194,8.190242863060792
-2.6875553306604,-0.7224086320742855,8.477542864689996
-3.0714830211393926,-0.8256163093181935,8.7648428663192
-3.455406017774737,-0.9288305102091988,9.052142867948403
-3.8393244796797763,-1.0320512347473079,9.339442869577606
-4.223238645524531,-1.1352782442625122,9.339442869577606
-4.607148594865655,-1.2385113796414555,9.62674287120681
-4.991054566373195,-1.3417504817708008,9.914042872836013
-5.374956798717146,-1.4449953119805332,10.201342874465217
-5.75885553056753,-1.5482455520439593,10.48864287609442
-6.142750921037678,-1.651501201961079,10.775942877723624
-6.5266431292409575,-1.754761863948541,11.063242879352828
-6.910532393847366,-1.8580274584496597,11.063242879352828
-7.294418953526939,-1.961297746794434,11.350542880982031
-7.67830296739299,-2.0645725698695068,11.637842882611235
-8.062184674115569,-2.1678516890048765,11.925142884240438
-8.446064232807995,-2.2711347859738362,11.651523835069769
-8.82994180258362,-2.3744218607764065,11.3779047858991
-9.213817781225814,-2.4777125951858805,11.10428573672843
-9.597692168734559,-2.5810067505322563,11.10428573672843
-9.98156520377988,-2.6843042472588556,10.83066668755776
-10.365437204588462,-2.787604767138985,10.557047638387091
-10.749308250716984,-2.8909081510593153,10.283428589216422
-11.133178580835468,-2.9942142399064884,10.009809540045753
-11.517048433613908,-3.097522715453825,9.736190490875083
-11.900917968165663,-3.200833498144647,9.462571441704414
-12.284787423160738,-3.3041462697522674,9.188952392533745
-12.66865703726917,-3.4074609507200213,9.188952392533745
-13.052526890047611,-3.5107772228212153,8.915333343363075
-13.436397220166082,-3.6140949269425,8.641714294192406
-13.820268345851282,-3.717413903970537,8.368095245021737
-14.204140346659866,-3.8207338356786416,8.094476195851067
-14.588013461261864,-3.9240546425101406,7.820857146680397
-14.971887928327275,-4.027376085795013,7.5472380975097275
-15.35576382741279,-4.130697926863244,7.5472380975097275
-15.739641556301772,-4.23402000660149,7.273619048339058
-16.123521194550875,-4.337342086339743,6.999999999168389
-16.507402980830108,-4.440663927407974,6.999999998830433
-16.89128707425285,-4.543985370692847,6.999999998355137
-17.275173713489085,-4.647306257081011,6.999999997796684
-17.659063057652162,-4.750626347902459,6.999999997796684
-18.042955424968785,-4.853945404487168,6.999999996901287
-18.42685089499561,-4.957263267721802,6.999999995849233
-18.81074970640267,-5.060579619379668,6.999999994162415
-19.19465209785997,-5.163894459460765,6.99999999218048
-19.578558228480837,-5.2672074697384,6.999999989002732
-19.962468336935316,-5.370518411542572,6.99999998453359
-20.346382582336737,-5.473827125759918,6.999999979282545
-20.73030120335512,-5.577133373720441,6.999999979282545
-21.114224359103808,-5.6804370758674505,6.99999997086325
-21.498152288252808,-5.783737834417602,6.99999996097095
-21.882085229472157,-5.887035649370888,6.999999945110069
-22.266023341875172,-5.99033012294395,6.999999926474233
-22.6499668641319,-6.093621175580118,6.999999896594352
-23.033915955355663,-6.196908568609368,6.999999854571691
-23.417870774659807,-6.300192142918365,6.999999854571691
-23.80183164027103,-6.403471580280422,6.999999702603577
-24.185797517952583,-6.506746562468837,6.999999312924068
-24.569763156964118,-6.61001565746353,6.999998604475356
-24.953722113215207,-6.713277353687727,6.999996593068183
-25.337668022172096,-6.816529980451313,6.9999929906846114
-25.72159451930101,-6.919772105734195,6.99998335650621
-26.105495160511513,-7.0230020588462585,6.99998335650621
-26.4893637403832,-7.126218248654065,6.9999594099946
-26.873193735268973,-7.22941924313752,6.999917522273872
-27.256978780635052,-7.332603371606509,6.999798887644932
-27.64071259150436,-7.435769042927594,6.9995895876339285
-28.0243886442298,-7.538914665967332,6.999003397054732
-28.408000733390935,-7.642038808705627,6.997967798806633
-28.79154241489736,-7.745139800452367,6.995183321201969
-29.17500939268876,-7.848217322980869,6.995183321201969
-29.55847652959351,-7.951318473840951,6.9881813335789
-29.94211956630006,-8.054550734096505,6.975514542542047
-30.326120767143983,-8.158025323974991,6.94900026880309
-30.710662476017525,-8.26185370237389,6.881223089388236
-31.095926877699572,-8.366147169077333,6.711561546920386
-31.48209623652569,-8.471017103426139,6.412679531984644
-31.869050581034482,-8.576336851198471,5.770734954340749
-32.25220171883802,-8.678462955486445,5.719209880469918
-32.62487206067143,-8.77238422107705,5.669136657301358
-32.99993594453883,-8.872591895776262,5.634949893682688
-33.396885789318524,-8.994200872141919,5.589786090644307
-33.801994329925826,-9.095399186520948,5.5658646973065835
-34.19315706327043,-9.120088008544716,5.5335416140164115
-34.55016524219926,-9.020283527059233,5.5335416140164115
-34.866458066641975,-8.806431214872264,5.542295492490144
-35.14145349998617,-8.5145717559795,5.57072831850011
-35.374622808589685,-8.180804785870604,5.690642508618317
-35.570474548611806,-7.832287054091635,5.91978867454306
-35.74433809739808,-7.476964362815932,6.429399999999989
-35.912944541298174,-7.120294140629777,6.999999999999991
-36.08998295819422,-6.766799104780075,6.845267128872107
-36.277394451326494,-6.4173916907380635,6.933088487600999
-36.47428400813493,-6.072112790633152,7.020909846329891
-36.67975685472948,-5.731003296594757,7.108731205058783
-36.89291789899339,-5.394104180308963,7.108731205058783
-37.112872367036594,-5.061456254348504,7.196552563787675
-37.338724768959004,-4.733099058379374,7.284373922516567
-37.56950013774517,-4.408787000955076,7.3721952812454585
