 x_m, y_m, vx_mps,# s_m, psi_rad, kappa_radpm, ax_mps2
-26.031891,-4.9271964,9.8937373,26.4919671,1.7722877,0.0002575,0.0007202
-26.5214693,-5.0272358,9.8937625,26.9918155,1.7724388,0.0003474,0.0005586
-27.0112548,-5.1274006,9.8937823,27.4916639,1.772592,0.0002123,0.0005086
-27.5010473,-5.2276208,9.8938002,27.9915124,1.7726469,7.4E-06,0.0005086
-27.9907734,-5.3278293,9.893818,28.4913608,1.7725994,-0.0001976,0.0005086
-28.480455,-5.4279783,9.8938358,28.9912092,1.7724494,-0.0004028,0.0005086
-28.970114,-5.52802,9.8938537,29.4910577,1.7721968,-0.0006079,0.0005086
-29.4597722,-5.6279066,9.8938715,29.9909061,1.7718417,-0.0008131,0.0003989
-29.9494086,-5.7275875,9.8938857,30.4907545,1.7714314,-0.0007672,0.0003631
-30.439081,-5.8270806,9.8938985,30.990603,1.77108,-0.0006393,0.0003631
-30.9288349,-5.9264272,9.8939113,31.4904514,1.7707926,-0.0005112,0.0003631
-31.4187017,-6.0256665,9.8939242,31.9902999,1.770569,-0.0003831,0.0003631
-31.9087128,-6.1248373,9.893937,32.4901483,1.7704095,-0.0002551,0.0003631
-32.3988997,-6.2239787,9.8939498,32.9899967,1.770314,-0.0001271,0.000271
-32.8879294,-6.3228536,9.8939578,33.4898452,1.7702826,1.7E-06,0.0002393
-33.3767962,-6.4216961,9.8939638,33.9896936,1.7703156,0.0001305,0.0002393
-33.8660972,-6.5206595,9.8939697,34.489542,1.7704128,0.0002586,0.0002393
-34.355959,-6.6198021,9.8939757,34.9893905,1.7705738,0.0003857,0.0002393
-34.8465081,-6.7191824,9.8939817,35.4892389,1.7707984,0.0005114,0.0002393
-35.3378709,-6.8188586,9.8939877,35.9890873,1.771086,0.0006355,0.0001986
-35.8266777,-6.9182058,9.8939944,36.4889358,1.7716652,0.0020645,0.0001821
-36.314919,-7.0179628,9.8940014,36.9887842,1.773179,0.0040077,0.0001821
-36.8038418,-7.1188775,9.8940084,37.4886326,1.7756617,0.0059355,0.0001821
-37.2932851,-7.2214139,9.8940155,37.9884811,1.7791092,0.0078499,0.0001821
-37.7830876,-7.3260358,9.8940225,38.4883295,1.7835179,0.0097527,0.0001821
-38.2730882,-7.4332071,9.8940295,38.9881779,1.7888849,0.0116456,0.0001096
-38.7630122,-7.543317,9.894035,39.4880264,1.7947465,0.0105758,6.49E-05
-39.2525293,-7.65606,9.8940394,39.9878748,1.7993427,0.0077315,6.49E-05
-39.7411905,-7.7706062,9.8940439,40.4877233,1.8025166,0.0049175,6.49E-05
-40.2284823,-7.8860998,9.8940483,40.9875717,1.8042749,0.0020994,6.49E-05
-40.7138911,-8.0016851,9.8940527,41.4874201,1.8046123,-0.0007586,6.49E-05
-41.1969033,-8.1165063,9.8940572,41.9872686,1.8035118,-0.0036937,-0.001586
-41.6865,-8.2319163,9.8939733,42.487117,1.8007067,-0.0080888,-0.0030889
-42.1814586,-8.3464344,9.8937957,42.9869654,1.7951288,-0.0139187,-0.0030888
-42.6731955,-8.456562,9.8936181,43.4868139,1.7865941,-0.0200089,-0.0030888
-43.1618264,-8.5608507,9.8934405,43.9866623,1.7750185,-0.0263856,-0.0030888
-43.6474671,-8.6578521,9.893263,44.4865107,1.7603119,-0.0330689,-0.0030887
-44.1302335,-8.7461179,9.8930854,44.9863592,1.7423803,-0.0400692,-0.0139444
-44.6240007,-8.826241,9.8924764,45.4862076,1.7201252,-0.0496833,-0.0197723
-45.12275,-8.8944418,9.8915778,45.986056,1.6923424,-0.0607242,-0.0197708
-45.6198713,-8.947058,9.8906793,46.4859045,1.6592319,-0.0717178,-0.0197693
-46.1161736,-8.9817078,9.8897808,46.9857529,1.6208845,-0.0823437,-0.0197678
-46.6124655,-8.9960095,9.8888823,47.4856013,1.5775099,-0.0922003,-0.0208578
-47.1095636,-8.987581,9.8879837,47.9854498,1.5294609,-0.1006588,-0.0620949
-47.6079526,-8.9543281,9.8859324,48.4852982,1.4787178,-0.1026987,-0.0620802
-48.1052947,-8.8953453,9.8838313,48.9851466,1.4265148,-0.105941,-0.0620654
-48.5990209,-8.8099992,9.8817302,49.4849951,1.3723699,-0.1103517,-0.0620507
-49.0865622,-8.6976563,9.8796291,49.9848435,1.3158116,-0.1158949,-0.0620359
-49.5653495,-8.5576831,9.877528,50.484692,1.2563843,-0.1225146,-0.0680948
-50.0366172,-8.3879555,9.8758558,50.9845404,1.1933566,-0.1279314,-0.0770237
-50.4993565,-8.1868577,9.8749114,51.4843888,1.1280636,-0.1309782,-0.0770009
-50.9455417,-7.9568796,9.8739671,51.9842373,1.0613745,-0.134815,-0.0769781
-51.3729143,-7.698691,9.8730227,52.4840857,0.9929366,-0.1393807,-0.0769554
-51.7792159,-7.4129615,9.8720784,52.9839341,0.9224252,-0.1445699,-0.0769326
