 x_m, y_m, vx_mps,# s_m, psi_rad, kappa_radpm, ax_mps2
-35.3389657,-3.3415694,8.8996837,35.4963707,1.6572257,0.0001446,0.0007665
-35.837057,-3.3847368,8.8997267,35.9963196,1.6572503,-4.61E-05,0.0006084
-36.3356265,-3.4279756,8.8997609,36.4962685,1.657458,0.001011,0.0005893
-36.834133,-3.4714632,8.899794,36.9962174,1.6582665,0.0022209,0.0005893
-37.3324076,-3.5154885,8.8998271,37.4961663,1.6596807,0.0034345,0.0005893
-37.8303444,-3.5603461,8.8998602,37.9961151,1.6617022,0.0046534,0.0005893
-38.3278372,-3.6063304,8.8998933,38.496064,1.664333,0.0058793,0.0005893
-38.8247801,-3.653736,8.8999264,38.9960129,1.6675756,0.0071138,-7.38E-05
-39.3224867,-3.7029813,8.8999223,39.4959618,1.6713123,0.0077509,-0.0001712
-39.8198407,-3.7541389,8.8999127,39.9959107,1.6753233,0.0082923,-0.0001712
-40.3167703,-3.8073351,8.899903,40.4958596,1.679601,0.0088247,-0.0001712
-40.8134087,-3.8627162,8.8998934,40.9958084,1.6841417,0.0093463,-0.0001712
-41.3098892,-3.9204287,8.8998838,41.4957573,1.688941,0.0098556,-0.0001712
-41.806345,-3.9806187,8.8998742,41.9957062,1.6939942,0.010351,0.000402
-42.3039285,-4.043483,8.8998968,42.4956551,1.6987539,0.0083084,0.0004869
-42.8014271,-4.1084446,8.8999241,42.995604,1.7023228,0.0059218,0.0004869
-43.2982545,-4.1748201,8.8999515,43.4955529,1.7046961,0.0035477,0.0004869
-43.7939847,-4.2419457,8.8999788,43.9955017,1.7058759,0.0011645,0.0004869
-44.2881912,-4.3091576,8.9000062,44.4954506,1.7058567,-0.0012499,0.0004869
-44.7804479,-4.3757919,8.9000335,44.9953995,1.7046259,-0.0037187,0.0003435
-45.2766066,-4.4421445,8.9000528,45.4953484,1.7029995,-0.0023235,0.0003248
-45.7718417,-4.5077892,8.9000711,45.9952973,1.7023243,-0.0003729,0.0003248
-46.2662235,-4.5732274,8.9000893,46.4952462,1.7026295,0.0015977,0.0003248
-46.7606227,-4.6390685,8.9001076,46.995195,1.7039157,0.0035547,0.0003248
-47.2559098,-4.7059219,8.9001258,47.4951439,1.7061726,0.0054653,0.0003248
-47.7529553,-4.7743971,8.9001441,47.9950928,1.7093787,0.0072976,-0.0230001
-48.2326847,-4.841335,8.898852,48.4950417,1.7076926,-0.0145321,-0.0234065
-48.716393,-4.9053589,8.8975369,48.9949906,1.6953649,-0.0357542,-0.0234031
-49.2063629,-4.9615042,8.8962218,49.4949395,1.6727909,-0.0554511,-0.0233996
-49.7045259,-5.0047569,8.8949067,49.9948883,1.6405478,-0.0730616,-0.0233961
-50.2128133,-5.0301034,8.8935916,50.4948372,1.5994311,-0.0879549,-0.0233927
-50.7331565,-5.0325298,8.8922765,50.9947861,1.5504869,-0.0994892,-0.0635064
-51.2472426,-5.0086903,8.8887052,51.494735,1.4981507,-0.1035968,-0.0717553
-51.7625572,-4.9569325,8.8846684,51.9946839,1.4424681,-0.1124921,-0.0717227
-52.2732636,-4.8752298,8.8806316,52.4946328,1.3804729,-0.1285393,-0.0716901
-52.7696678,-4.7616363,8.8765948,52.9945816,1.3090772,-0.1536261,-0.0716575
-53.2420759,-4.6142065,8.8725579,53.4945305,1.2244428,-0.1908852,-0.0716249
-53.6807939,-4.4309947,8.8685211,53.9944794,1.1217176,-0.2445846,-1.8733679
-54.1090204,-4.188702,8.7622766,54.4944283,0.9858348,-0.2932154,-4.4730241
-54.5222064,-3.866242,8.5032302,54.9943772,0.8299218,-0.2984342,-4.3388003
-54.8677689,-3.4991101,8.2441838,55.4943261,0.6811629,-0.2890201,-4.2045765
-55.1498223,-3.096837,7.9851375,55.9942749,0.5433614,-0.270445,-4.0703528
-55.3724808,-2.668953,7.7260911,56.4942238,0.4180001,-0.2489221,-5.3438115
-55.5427974,-2.2155942,7.3721923,56.9941727,0.3022271,-0.2324398,-13.0673248
-55.6694426,-1.6965637,6.4252027,57.4941216,0.1753427,-0.2446812,-11.273563
-55.7261816,-1.1830286,5.4782131,57.9940705,0.042281,-0.2733266,-9.4798012
-55.7118929,-0.6889865,4.5312236,58.4940194,-0.1042361,-0.323537,-7.6860394
-55.6254546,-0.2284351,3.584234,58.9939682,-0.2728559,-0.4008642,-0.5728618
-55.4564293,0.2025741,3.503417,59.4939171,-0.4830265,-0.5073285,4.3731083
-55.1925294,0.5825424,4.0800235,59.993866,-0.7357305,-0.5664271,5.0381264
-54.8303799,0.8889373,4.65663,60.4938149,-0.9973731,-0.5158612,5.7031446
-54.362278,1.1147223,5.2332365,60.9937638,-1.2343624,-0.3907581,4.8869674
-53.8483347,1.2425966,5.6809535,61.4937127,-1.4077788,-0.2509319,2.2968882
-53.3941086,1.2951879,5.8796161,61.9936615,-1.495066,-0.1422365,2.37583
-52.902097,1.3182232,6.0782788,62.4936104,-1.5476096,-0.0766122,2.4547718
-52.3859336,1.3221594,6.2769414,62.9935593,-1.5748593,-0.0313551,2.5337135
-51.8592518,1.3174533,6.4756041,63.4935082,-1.5813034,0.006405,2.6126553
-51.3356852,1.3145618,6.6742667,63.9934571,-1.5678949,0.0460092,2.4587343
-50.8070274,1.3247846,6.8559696,64.493406,-1.5307225,0.090918,1.506899
-50.2218443,1.3654573,6.9649885,64.9933548,-1.4690803,0.1218145,1.5306716
-49.6867404,1.4399887,7.0740073,65.4933037,-1.3914125,0.1699969,1.5544443
-49.2082365,1.5502885,7.1830261,65.9932526,-1.2908224,0.246878,1.5782169
-48.7928532,1.6982662,7.292045,66.4932015,-1.1573273,0.3697977,1.5932396
-48.4310484,1.8967836,7.4004728,66.9931504,-0.9669741,0.5675049,1.5819442
-48.1045272,2.1994196,7.5065824,67.4930993,-0.6665991,0.7365943,1.604465
-47.8869616,2.5919832,7.6126921,67.9930481,-0.3568178,0.5932819,1.6269858
-47.7705895,3.0952082,7.7188017,68.492997,-0.1203123,0.3345175,1.4480896
-47.7460438,3.6641761,7.8120318,68.9929459,0.0190635,0.1768147,0.8129729
-47.7700142,4.1062106,7.8638878,69.4928948,0.0860499,0.1323037,0.8183516
-47.8258425,4.5853231,7.9157438,69.9928437,0.144398,0.1127287,0.8237302
-47.9133678,5.087899,7.9675997,70.4927926,0.1999712,0.1070126,0.8291088
-48.0324291,5.600324,8.0194557,70.9927414,0.2570052,0.1113386,0.8344874
-48.1828656,6.1089836,8.0713116,71.4926903,0.3193428,0.125409,0.8398661
-48.3645162,6.6002634,8.1231676,71.9926392,0.3912494,0.1515433,0.6880651
-48.588379,7.084275,8.1654055,72.4925881,0.4743283,0.1463561,0.6190374
-48.8455011,7.5436951,8.2032201,72.992537,0.5433,0.1140151,0.6218976
-49.1209169,7.9741337,8.2410348,73.4924859,0.5917153,0.0741419,0.6247578
-49.4042351,8.3825728,8.2788495,73.9924347,0.6173581,0.0277251,0.627618
-49.6850646,8.7759945,8.3166641,74.4923836,0.6182115,-0.0257251,0.6304782
-49.953014,9.1613808,8.3544788,74.9923325,0.5920486,-0.087566,0.534187
-50.2180267,9.578896,8.3863847,75.4922814,0.5364985,-0.1222121,0.4664186
-50.4635615,10.0234009,8.414144,75.9922303,0.472107,-0.1308014,0.46796
-50.6751802,10.4739904,8.4419033,76.4921792,0.4056559,-0.1353965,0.4695013
-50.8543692,10.9329833,8.4696626,76.992128,0.3387493,-0.1353268,0.4710426
-51.0026154,11.4026983,8.4974219,77.4920769,0.2730721,-0.1305597,0.4325824
-51.1200215,11.8789616,8.5228351,77.9920258,0.2111111,-0.1204445,0.3273025
-51.2076447,12.3514975,8.542013,78.4919747,0.1567609,-0.1058066,0.3280382
-51.2720766,12.8366488,8.561191,78.9919236,0.1084574,-0.0917428,0.3287739
-51.315284,13.3338508,8.580369,79.4918725,0.0660033,-0.0785889,0.3295095
-51.3392332,13.8425388,8.5995469,79.9918213,0.0291138,-0.0665056,0.3302452
-51.3458911,14.362148,8.6187249,80.4917702,-0.0025384,-0.0555295,0.2549817
-51.3381024,14.8596165,8.633503,80.9917191,-0.0282445,-0.048862,0.2210475
-51.3185371,15.3501241,8.646294,81.491668,-0.0511354,-0.0445396,0.2213747
-51.2877687,15.846561,8.6590849,81.9916169,-0.0723654,-0.0409424,0.221702
-51.2464082,16.3474246,8.6718758,82.4915658,-0.0921673,-0.0379573,0.2220292
-51.195067,16.8512127,8.6846668,82.9915146,-0.1107445,-0.0354952,0.2223565
-51.1343562,17.3564229,8.6974577,83.4914635,-0.1282771,-0.0334874,0.1859269
-51.0649452,17.8609648,8.7081386,83.9914124,-0.1451934,-0.033875,0.1578249
-50.9869763,18.3632684,8.7171949,84.4913613,-0.1629955,-0.036251,0.1579889
-50.9001468,18.8619115,8.7262512,84.9913102,-0.1820558,-0.0391623,0.158153
-50.8041996,19.3550221,8.7353075,85.4912591,-0.2025886,-0.042701,0.158317
-50.6988776,19.8407282,8.7443638,85.9912079,-0.2248402,-0.046987,0.1584811
-50.5839237,20.3171579,8.7534201,86.4911568,-0.2490967,-0.0521747,0.1409859
-50.4540828,20.8001194,8.7614687,86.9911057,-0.2765867,-0.05704,0.1175621
-50.3061347,21.2931267,8.7681745,87.4910546,-0.3067692,-0.0601994,0.117652
-50.1460428,21.7726306,8.7748803,87.9910035,-0.3379389,-0.0630637,0.1177419
-49.9736482,22.2393342,8.7815861,88.4909524,-0.3699495,-0.0655454,0.1178319
-49.788792,22.6939404,8.7882919,88.9909012,-0.4026319,-0.0675615,0.1179218
-49.5913153,23.1371521,8.7949977,89.4908501,-0.4357963,-0.0690397,0.0918067
-49.3731751,23.5850463,8.8002148,89.990799,-0.4709634,-0.0725343,0.0851995
-49.138387,24.0258863,8.8050538,90.4907479,-0.5080831,-0.0759622,0.0852463
-48.8878324,24.4562442,8.8098927,90.9906968,-0.5465863,-0.0785083,0.0852931
-48.6205259,24.8766996,8.8147316,91.4906457,-0.5861337,-0.0800581,0.08534
-48.3354825,25.287832,8.8195706,91.9905945,-0.6263546,-0.0805446,0.071106
-48.0357792,25.6850493,8.8236004,92.4905434,-0.6664142,-0.0807866,0.0505422
-47.72353,26.0661489,8.8264637,92.9904923,-0.7065398,-0.0821376,0.0505586
-47.3933018,26.437332,8.8293269,93.4904412,-0.7477456,-0.08377,0.050575
-47.0451838,26.797153,8.8321902,93.9903901,-0.7901473,-0.0856334,0.0505914
-46.6792649,27.1441664,8.8350535,94.490339,-0.833844,-0.0876727,0.0506078
-46.2956342,27.4769266,8.8379168,94.9902878,-0.8789155,-0.0898257,0.0442156
-45.9080425,27.783978,8.8404176,95.4902367,-0.9221781,-0.0838969,0.0430617
-45.5077241,28.0749088,8.8428526,95.9901856,-0.9619202,-0.0767753,0.0430736
-45.0937099,28.3523027,8.8452875,96.4901345,-0.9984841,-0.07003,0.0430854
-44.6673895,28.6167912,8.8477224,96.9900834,-1.0320119,-0.0636976,0.0430973
-44.2301528,28.869006,8.8501573,97.4900323,-1.0626546,-0.0577866,0.042878
-43.7840621,29.1092281,8.8525792,97.9899811,-1.0905226,-0.0521907,0.0390368
-43.341202,29.3330164,8.8547835,98.48993,-1.1147045,-0.0453166,0.0390466
-42.8916757,29.5475972,8.8569878,98.9898789,-1.1356091,-0.0386565,0.0390563
-42.4365455,29.7541677,8.8591922,99.4898278,-1.1533089,-0.0322045,0.039066
-41.9768738,29.9539249,8.8613965,99.9897767,-1.167872,-0.0259389,0.0390757
-41.5137228,30.1480659,8.8636008,100.4897256,-1.1793574,-0.0198255,0.0380706
-41.0484172,30.3376817,8.8657479,100.9896744,-1.1878181,-0.0142007,0.0299177
-40.5837147,30.5230944,8.8674349,101.4896233,-1.1942887,-0.0116668,0.0299234
-40.1179426,30.7057893,8.8691218,101.9895722,-1.1994942,-0.0091432,0.0299291
-39.6514496,30.8863091,8.8708087,102.4895211,-1.2034379,-0.0066255,0.0299348
-39.1845848,31.0651965,8.8724956,102.98947,-1.2061213,-0.0041083,0.0299405
-38.7176972,31.2429941,8.8741826,103.4894189,-1.2075442,-0.0015862,0.0288153
-38.2508977,31.4203349,8.8758058,103.9893677,-1.2077132,0.0006783,0.0215205
-37.7831285,31.5981678,8.8770179,104.4893166,-1.2072392,0.0012165,0.0215235
-37.3158659,31.7761337,8.87823,104.9892655,-1.2064962,0.0017554,0.0215264
-36.8489979,31.9544184,8.8794421,105.4892144,-1.2054845,0.0022932,0.0215294
-36.3824131,32.1332079,8.8806542,105.9891633,-1.2042048,0.0028284,0.0215323
-35.9159997,32.312688,8.8818663,106.4891122,-1.2026585,0.0033592,0.0204092
-35.4498355,32.492971,8.8830151,106.989061,-1.2008553,0.0037244,0.0152939
-34.9845122,32.6739029,8.8838758,107.4890099,-1.1990862,0.003363,0.0152954
-34.5191662,32.855744,8.8847365,107.9889588,-1.1974958,0.0030039,0.0152969
-34.0538049,33.0383969,8.8855973,108.4889077,-1.1960834,0.002647,0.0152984
-33.588436,33.2217641,8.886458,108.9888566,-1.1948482,0.0022919,0.0152999
-33.123067,33.4057482,8.8873187,109.4888055,-1.1937898,0.0019384,0.0143538
-32.6578937,33.5901768,8.8881261,109.9887543,-1.192906,0.0016242,0.0108561
-32.1934331,33.7747636,8.8887367,110.4887032,-1.1921376,0.0014509,0.0108569
-31.7290045,33.9597278,8.8893474,110.9886521,-1.1914554,0.0012782,0.0108576
-31.2646231,34.145017,8.889958,111.488601,-1.1908594,0.001106,0.0108584
