?,Raceline,Speed changing,,,,,,,,,,
Explain variance,n/a,0.95703116,0.98761259,0.98529214,0.98405704,n/a,0.98331838,n/a,n/a,n/a,0.96856959,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Sepang/Half,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,114.25,30.82,15.34,6.58,27.09,33.05,5.97,n/a,n/a,n/a,20.56,n/a
RMSE,0.07099064,0.10231205,0.06124809,0.06665657,0.08334817,n/a,0.0755812,n/a,n/a,n/a,0.07140956,n/a
R2,0.97183899,0.95433584,0.97903807,0.97517256,0.96118155,n/a,0.96474284,n/a,n/a,n/a,0.97150565,n/a
Explain variance,0.9773825,0.98411971,0.98041744,0.97953452,0.96285841,n/a,0.96566382,n/a,n/a,n/a,0.97815941,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Sepang/One-third,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,12.75,n/a,13.34,3.59,30.91,n/a,8.44,n/a,n/a,n/a,15.11,n/a
RMSE,0.07300481,n/a,0.07642474,0.07514809,0.10738893,n/a,0.10654141,n/a,n/a,n/a,0.07963624,n/a
R2,0.97026797,n/a,0.96741712,0.9684966,0.935666,n/a,0.93667744,n/a,n/a,n/a,0.9646212,n/a
Explain variance,0.97453243,n/a,0.97486864,0.97442899,0.94163089,n/a,0.94185695,n/a,n/a,n/a,0.97189277,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
?,Centerline,Speed capped,,,,,,,,,,
Sepang/Full,RBF + Periodic,*RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,n/a,70.73,189.79,15.62,234.89,n/a,n/a,n/a,n/a,n/a,63.9,n/a
RMSE,n/a,0.06282533,0.0685472,0.06269642,0.05496632,n/a,n/a,n/a,n/a,n/a,0.0615472,n/a
R2,n/a,0.97877202,0.9780325,0.97885904,0.98375078,n/a,n/a,n/a,n/a,n/a,0.978271,n/a
Explain variance,n/a,0.97951023,0.9793216,0.97952435,0.98496603,n/a,n/a,n/a,n/a,n/a,0.9797601,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Sepang/Half,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,n/a,5.87,7.67,9.87,75.65,78.87,n/a,n/a,n/a,n/a,19.96,n/a
RMSE,n/a,0.07284629,0.0727436,0.07258898,0.0790068,0.09573638,n/a,n/a,n/a,n/a,0.07082653,n/a
R2,n/a,0.9713903,0.97147091,0.97159206,0.96634673,0.95058574,n/a,n/a,n/a,n/a,0.97295479,n/a
Explain variance,n/a,0.97227466,0.9722872,0.97237071,0.96712184,0.95276688,n/a,n/a,n/a,n/a,0.97528897,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Sepang/One-third,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,n/a,n/a,6.62,3.62,33.28,33.96,7.12,n/a,n/a,n/a,4.81,n/a
RMSE,n/a,n/a,0.07894515,0.08368849,0.09560284,0.17327954,0.07701028,n/a,n/a,n/a,0.08269991,n/a
R2,n/a,n/a,0.96673372,0.96261601,0.95121403,0.88048271,0.96834438,n/a,n/a,n/a,0.96349407,n/a
Explain variance,n/a,n/a,0.9672206,0.9629422,0.95184549,0.88573378,0.9689003,n/a,n/a,n/a,0.96719795,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
?,Raceline,Speed changing,,,,,,,,,,
Shanghai/Full,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,187.46,231.86,247.97,44.99,199.97,253.12,382.36,n/a,n/a,n/a,505.88,n/a
RMSE,0.06414717,0.06452097,0.05972167,0.06453173,0.10680286,0.06414778,0.13677256,n/a,n/a,n/a,0.0596155,n/a
R2,0.98352823,0.9833357,0.9857226,0.98333014,0.9543384,0.98352791,0.91795178,n/a,n/a,n/a,0.98577331,n/a
Explain variance,0.98782787,0.98765589,0.99031996,0.98765331,0.95784023,0.98782798,0.94679718,n/a,n/a,n/a,0.99042603,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Shanghai/Half,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,33.32,68.28,49.36,26.71,41.52,64.04,133.71,n/a,n/a,n/a,92.17,83.22
RMSE,0.08443729,0.08558158,0.07900171,0.08558212,0.13986316,0.08443734,0.12629583,n/a,n/a,n/a,0.07981857,0.1020809
R2,0.9715707,0.97079493,0.97511311,0.97079456,0.92199826,0.97157067,0.93639729,n/a,n/a,n/a,0.9745958,0.95844851
Explain variance,0.97582744,0.97514721,0.97970688,0.97514503,0.92534502,0.97582743,0.93918374,n/a,n/a,n/a,0.97929337,0.96136579
,,,,,,,,,,,,
,,,,,,,,,,,,
Shanghai/One-third,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RQ * RBF,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,30.52,21.84,23.64,20.68,21.74,31.94,55.84,n/a,n/a,n/a,68.05,34.54
RMSE,0.10249477,0.10422752,0.09694863,0.10423598,0.13019548,0.14781347,0.1243897,n/a,n/a,n/a,0.09686563,0.09330732
R2,0.95780347,0.95636468,0.96224655,0.9563576,0.93191285,0.91223905,0.93784986,n/a,n/a,n/a,0.96231116,0.96502926
Explain variance,0.9618416,0.96046707,0.96689729,0.96045837,0.93522948,0.91559314,0.94239159,n/a,n/a,n/a,0.96693327,0.96917583
,,,,,,,,,,,,
,,,,,,,,,,,,
?,Centerline,Speed changing,,,,,,,,,,
Shanghai/Full,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,192.4,277.46,265.49,171.74,182.96,228.77,668.94,n/a,n/a,n/a,523.32,n/a
RMSE,0.05497836,0.05509612,0.0468515,0.05512637,0.07472234,0.05497827,0.05077547,n/a,n/a,n/a,0.04621721,n/a
R2,0.98841031,0.98836061,0.99158343,0.98834783,0.98396711,0.98841035,0.99011456,n/a,n/a,n/a,0.99180978,n/a
Explain variance,0.98881645,0.98875484,0.99210964,0.98874239,0.98447365,0.98881649,0.99074137,n/a,n/a,n/a,0.99237526,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Shanghai/Half,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,25.11,46.17,48.01,24.11,27.93,110.42,120.06,n/a,n/a,n/a,64.98,n/a
RMSE,0.07713698,0.0773338,0.07733431,0.07736958,0.0646639,0.07713871,0.08234247,n/a,n/a,n/a,0.06899632,n/a
R2,0.97727022,0.97715408,0.97715378,0.97713294,0.95884354,0.9772692,0.97409893,n/a,n/a,n/a,0.98181465,n/a
Explain variance,0.97775468,0.97763162,0.97763128,0.97761098,0.95943325,0.9817863,0.97487251,n/a,n/a,n/a,0.98242876,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Shanghai/One-third,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,39.94,28.34,30.57,11.38,13.51,19.32,65.4,n/a,n/a,n/a,59.21,30.43
RMSE,0.09302983,0.09248661,0.08379016,0.09254043,0.13414991,0.12576567,0.1524592,n/a,n/a,n/a,0.08360944,0.11002697
R2,0.96713874,0.96752139,0.97334211,0.96748357,0.93166857,0.93994296,0.91174344,n/a,n/a,n/a,0.97345698,0.95403386
Explain variance,0.96773141,0.96812714,0.97414399,0.96809002,0.93216246,0.94046337,0.91252999,n/a,n/a,n/a,0.97435575,0.95446885
,,,,,,,,,,,,
,,,,,,,,,,,,
?,Raceline,Speed capped,,,,,,,,,,
Shanghai/Full,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,n/a,70.49,114.88,19.8,239.94,439.26,98.96,n/a,n/a,n/a,67.81,n/a
RMSE,n/a,0.07972109,0.09832311,0.0579899,0.05780808,0.40228734,0.06366741,n/a,n/a,n/a,0.07817591,n/a
R2,n/a,0.97233962,0.94581933,0.98115319,0.98127118,0.09300289,0.97728214,n/a,n/a,n/a,0.96574854,n/a
Explain variance,n/a,0.97264399,0.96418205,0.98529214,0.98405704,0.9659381,0.98331838,n/a,n/a,n/a,0.96856959,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Shanghai/Half,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,n/a,30.82,19.22,3.82,52.42,50.5,18.86,n/a,n/a,n/a,25.15,n/a
RMSE,n/a,0.1025357,0.07889131,0.08481259,0.0992095,0.23082113,0.07828026,n/a,n/a,n/a,0.08271893,n/a
R2,n/a,0.95393701,0.97273156,0.96848462,0.95687705,0.70228742,0.97315234,n/a,n/a,n/a,0.97002137,n/a
Explain variance,n/a,0.95905387,0.97276996,0.96849064,0.9582361,0.9582361,0.97355551,n/a,n/a,n/a,0.97002465,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Shanghai/One-third,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,n/a,n/a,13.19,4.19,33.4,22.23,3.45,n/a,n/a,n/a,4.43,n/a
RMSE,n/a,n/a,0.10282238,0.10521512,0.13986085,0.10597928,0.10778335,n/a,n/a,n/a,0.10534562,n/a
R2,n/a,n/a,0.952474,0.95023635,0.91206773,0.94951087,0.9477773,n/a,n/a,n/a,0.95011282,n/a
Explain variance,n/a,n/a,0.95250596,0.95034054,0.91340358,0.95023079,0.9477974,n/a,n/a,n/a,0.9501318,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
?,Centerline,Speed capped,,,,,,,,,,
Shanghai/Full,RBF + Periodic,*RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,n/a,28.46,28.08,14.17,184.01,161.2,33.33,n/a,n/a,n/a,35.71,n/a
RMSE,n/a,0.06282533,0.08050099,0.07851284,0.08078268,0.08249773,0.09793031,n/a,n/a,n/a,0.07920425,n/a
