X,Y,velocity
-0.4936894178390503,0.2901630997657776,5.0
-0.9679273962974548,0.19381307065486908,5.0
-1.3612290620803833,0.1141667291522026,5.0
-1.8364778757095337,0.01728185825049877,5.0
-2.2375648021698,-0.06401178240776062,5.0
-2.7001500129699707,-0.15845271944999695,5.093510740225884
-3.1163902282714844,-0.2430315762758255,5.24648381704397
-3.562936544418335,-0.3342169225215912,5.399456893862055
-3.994764566421509,-0.42222970724105835,5.399456893862055
-4.4273295402526855,-0.5104451179504395,5.552429970680141
-4.870497226715088,-0.6010727882385254,5.705403047498226
-5.294780731201172,-0.6874777674674988,5.858376124316312
-5.742741584777832,-0.7792835235595703,6.011349201134397
-6.165553092956543,-0.865358829498291,6.164322277952483
-6.612040996551514,-0.9569051265716553,6.164322277952483
-7.038900375366211,-1.0439069271087646,6.317295354770568
-7.479547023773193,-1.1341625452041626,6.470268431588654
-7.913092136383057,-1.222766637802124,6.623241508406739
-8.346900939941406,-1.3114248514175415,6.776214585224825
-8.78653621673584,-1.4015170335769653,6.776214585224825
-9.215487480163574,-1.4890377521514893,6.92918766204291
-9.658447265625,-1.5799751281738281,7.0821607388609955
-10.086074829101562,-1.6671594381332397,7.235133815679081
-10.528427124023438,-1.7579790353775024,7.3881068924971665
-10.95823860168457,-1.845689058303833,7.541079969315252
-11.397028923034668,-1.935642957687378,7.694053046133337
-11.831084251403809,-2.0244128704071045,7.694053046133337
-12.265446662902832,-2.113234519958496,7.847026122951423
-12.703874588012695,-2.2030904293060303,7.999999199769508
-13.134719848632812,-2.2909798622131348,8.152972276587594
-13.57547378540039,-2.3814661502838135,8.30594535340568
-14.005181312561035,-2.469041347503662,8.30594535340568
-14.445599555969238,-2.559460163116455,8.458918430223765
-14.876806259155273,-2.647423028945923,8.61189150704185
-15.314854621887207,-2.737220048904419,8.764864583859936
-15.749314308166504,-2.8260464668273926,8.917837660678021
-16.18390464782715,-2.9149160385131836,9.070810737496107
-16.621553421020508,-3.0046279430389404,9.070810737496107
-17.053369522094727,-3.0927066802978516,9.223783814314192
-17.492843627929688,-3.182912826538086,9.376756891132278
-17.923768997192383,-3.2706942558288574,9.529729967950363
-18.36329460144043,-3.3608710765838623,9.682703044768449
-18.795438766479492,-3.4489381313323975,9.835676121586534
-19.232948303222656,-3.538520574569702,9.835676121586534
-19.667537689208984,-3.627274751663208,9.98864919840462
-20.102224349975586,-3.7160418033599854,10.141622275222705
-20.539352416992188,-3.8055419921875,10.29459535204079
-20.971866607666016,-3.8936824798583984,10.447568428858876
-21.410795211791992,-3.9837069511413574,10.447568428858876
-21.84256935119629,-4.071590900421143,10.600541505676961
-22.281309127807617,-4.161584377288818,10.753514582495047
-22.713926315307617,-4.249717712402344,10.906487659313132
-23.151004791259766,-4.339174270629883,11.059460736131218
-23.585641860961914,-4.427852153778076,11.212433812949303
-24.020584106445312,-4.5165910720825195,11.059460736131218
-24.457643508911133,-4.605958461761475,11.059460736131218
-24.89067840576172,-4.694057941436768,10.906487659313132
-25.329021453857422,-4.783856391906738,10.753514582495047
-25.761272430419922,-4.871744155883789,10.600541505676961
-26.19942283630371,-4.961575508117676,10.447568428858876
-26.632343292236328,-5.049778938293457,10.447568428858876
-27.069318771362305,-5.139352321624756,10.29459535204079
-27.504154205322266,-5.228256702423096,10.141622275222705
-27.9390869140625,-5.317185401916504,9.98864919840462
-28.37578582763672,-5.406691074371338,9.835676121586534
-28.808979034423828,-5.494951248168945,9.682703044768449
-29.246856689453125,-5.584680080413818,9.682703044768449
-29.67943000793457,-5.672461986541748,9.529729967950363
-30.11726188659668,-5.761876583099365,9.376756891132278
-30.550521850585938,-5.84957218170166,9.223783814314192
-30.987285614013672,-5.938344955444336,9.070810737496107
-31.422264099121094,-6.026389122009277,8.917837660678021
-31.857479095458984,-6.114417552947998,8.917837660678021
-32.29452133178711,-6.202991962432861,8.764864583859936
-32.72770309448242,-6.290292739868164,8.61189150704185
-33.16444778442383,-6.378951549530029,8.458918430223765
-33.59684371948242,-6.46599817276001,8.30594535340568
-34.03427505493164,-6.554867267608643,8.152972276587594
-34.468048095703125,-6.642364978790283,8.152972276587594
-34.90553665161133,-6.731231212615967,7.999999199769508
-35.341888427734375,-6.81966495513916,7.999998176353597
-35.77620315551758,-6.907862186431885,7.999996283062323
-36.211124420166016,-6.9968156814575195,7.999991240745639
-36.64412307739258,-7.085597991943359,7.999991240745639
-37.08091735839844,-7.176899433135986,7.999978745020292
-37.514251708984375,-7.268138408660889,7.999956659364555
-37.95161056518555,-7.3627543449401855,7.999896832953394
-38.3857421875,-7.4581298828125,7.999749321613098
-38.82221221923828,-7.556890964508057,7.999475524869101
-39.256996154785156,-7.657093048095703,7.999475524869101
-39.691219329833984,-7.758758544921875,7.998751648179469
-40.12541198730469,-7.861717224121094,7.996968163143829
-40.556339263916016,-7.963991165161133,7.993685274841759
-40.98755645751953,-8.066995620727539,7.985293332117157
-41.41716003417969,-8.168403625488281,7.964281594809505
-41.85702896118164,-8.271866798400879,7.9255914185802245
-42.295448303222656,-8.372208595275879,7.9255914185802245
-42.73278045654297,-8.469664573669434,7.822274668827906
-43.1667366027832,-8.56185531616211,7.579174830072788
-43.59849166870117,-8.648340225219727,7.199976639669634
-44.02791976928711,-8.72833251953125,7.326104755477511
-44.46249771118164,-8.801042556762695,7.370928821382039
-44.90739822387695,-8.86703872680664,7.0502264060283535
-45.34819412231445,-8.920016288757324,6.479626406028351
-45.791507720947266,-8.961518287658691,5.813926406028348
-46.231178283691406,-8.986649513244629,5.807076086265003
