 x_m, y_m, vx_mps,# s_m, psi_rad, kappa_radpm, ax_mps2
-34.8465081,-6.7191824,11.4393198,35.4892389,1.7707984,0.0005114,0.0002393
-35.3378709,-6.8188586,11.4393302,35.9890873,1.771086,0.0006355,0.0001986
-35.8266777,-6.9182058,11.4393389,36.4889358,1.7716652,0.0020645,0.0001821
-36.314919,-7.0179628,11.4393469,36.9887842,1.773179,0.0040077,0.0001821
-36.8038418,-7.1188775,11.4393548,37.4886326,1.7756617,0.0059355,0.0001821
-37.2932851,-7.2214139,11.4393628,37.9884811,1.7791092,0.0078499,0.0001821
-37.7830876,-7.3260358,11.4393707,38.4883295,1.7835179,0.0097527,0.0001821
-38.2730882,-7.4332071,11.4393787,38.9881779,1.7888849,0.0116456,0.0001096
-38.7630122,-7.543317,11.4393835,39.4880264,1.7947465,0.0105758,6.49E-05
-39.2525293,-7.65606,11.4393863,39.9878748,1.7993427,0.0077315,6.49E-05
-39.7411905,-7.7706062,11.4393892,40.4877233,1.8025166,0.0049175,6.49E-05
-40.2284823,-7.8860998,11.439392,40.9875717,1.8042749,0.0020994,6.49E-05
-40.7138911,-8.0016851,11.4393948,41.4874201,1.8046123,-0.0007586,6.49E-05
-41.1969033,-8.1165063,11.4393977,41.9872686,1.8035118,-0.0036937,-0.001586
-41.6865,-8.2319163,11.4393284,42.487117,1.8007067,-0.0080888,-0.0030889
-42.1814586,-8.3464344,11.4391934,42.9869654,1.7951288,-0.0139187,-0.0030888
-42.6731955,-8.456562,11.4390584,43.4868139,1.7865941,-0.0200089,-0.0030888
-43.1618264,-8.5608507,11.4389235,43.9866623,1.7750185,-0.0263856,-0.0030888
-43.6474671,-8.6578521,11.4387885,44.4865107,1.7603119,-0.0330689,-0.0030887
-44.1302335,-8.7461179,11.4386535,44.9863592,1.7423803,-0.0400692,-0.0139444
-44.6240007,-8.826241,11.4380441,45.4862076,1.7201252,-0.0496833,-0.0197723
-45.12275,-8.8944418,11.4371801,45.986056,1.6923424,-0.0607242,-0.0197708
-45.6198713,-8.947058,11.436316,46.4859045,1.6592319,-0.0717178,-0.0197693
-46.1161736,-8.9817078,11.4354519,46.9857529,1.6208845,-0.0823437,-0.0197678
-46.6124655,-8.9960095,11.4345878,47.4856013,1.5775099,-0.0922003,-0.0208578
-47.1095636,-8.987581,11.433676,47.9854498,1.5294609,-0.1006588,-0.0620949
-47.6079526,-8.9543281,11.430961,48.4852982,1.4787178,-0.1026987,-0.0620802
-48.1052947,-8.8953453,11.4282461,48.9851466,1.4265148,-0.105941,-0.0620654
-48.5990209,-8.8099992,11.4255312,49.4849951,1.3723699,-0.1103517,-0.0620507
-49.0865622,-8.6976563,11.4228162,49.9848435,1.3158116,-0.1158949,-0.0620359
-49.5653495,-8.5576831,11.4201013,50.484692,1.2563843,-0.1225146,-0.0680948
-50.0366172,-8.3879555,11.4171204,50.9845404,1.1933566,-0.1279314,-0.0770237
-50.4993565,-8.1868577,11.4137478,51.4843888,1.1280636,-0.1309782,-0.0770009
-50.9455417,-7.9568796,11.4103752,51.9842373,1.0613745,-0.134815,-0.0769781
-51.3729143,-7.698691,11.4070025,52.4840857,0.9929366,-0.1393807,-0.0769554
-51.7792159,-7.4129615,11.4036299,52.9839341,0.9224252,-0.1445699,-0.0769326
-52.1621881,-7.1003606,11.4002572,53.4837826,0.8495595,-0.1502196,-0.0576989
-52.5234811,-6.7578323,11.3977271,53.983631,0.7745866,-0.1502004,-0.0554352
-52.8580778,-6.3893923,11.3952958,54.4834794,0.7001145,-0.1488992,-0.0554233
-53.1647104,-5.9968725,11.3928644,54.9833279,0.6263698,-0.1470619,-0.0554115
-53.4425817,-5.5816916,11.390433,55.4831763,0.5534364,-0.1447837,-0.0553997
-53.6908949,-5.1452682,11.3880016,55.9830247,0.4813701,-0.1421525,-0.0480104
-53.9068611,-4.6936305,11.3858941,56.4828732,0.4110808,-0.1377605,-0.0390513
-54.0902853,-4.2306594,11.3841796,56.9827216,0.3437564,-0.1329017,-0.0390455
-54.2432891,-3.7543061,11.3824651,57.48257,0.2780689,-0.1299489,-0.0390396
-54.3652154,-3.2679073,11.3807506,57.9824185,0.2132415,-0.1288796,-0.0390337
-54.455407,-2.7747995,11.3790361,58.4822669,0.1485002,-0.1296898,-0.0390278
-54.5132066,-2.2783193,11.3773216,58.9821154,0.0830681,-0.1324011,-0.0298659
-54.5381529,-1.7756176,11.3760094,59.4819638,0.0160016,-0.1337816,-0.0287005
-54.5292981,-1.2740669,11.3747483,59.9818122,-0.0514033,-0.1349256,-0.0286973
-54.4867662,-0.7761927,11.3734871,60.4816607,-0.1191387,-0.1361461,-0.0286941
-54.4107448,-0.2837577,11.372226,60.9815091,-0.1873066,-0.1374291,-0.028691
-54.3014217,0.201475,11.3709649,61.4813575,-0.2560029,-0.138742,-4.1769345
-54.1580787,0.680401,11.185847,61.981206,-0.3258286,-0.1413508,-10.1584562
-53.9797428,1.1514697,10.7223037,62.4810544,-0.3984913,-0.1474647,-9.7285811
-53.767617,1.606573,10.2587604,62.9809028,-0.4745267,-0.1556656,-9.298706
-53.5218175,2.0416688,9.7952171,63.4807513,-0.5547843,-0.1657543,-8.8688308
-53.2424603,2.4527151,9.3316737,63.9805997,-0.6400185,-0.1773646,-8.4389557
-52.9296616,2.8356699,8.8681304,64.4804481,-0.7308203,-0.1898698,-16.8402199
-52.566165,3.2019762,7.861846,64.9802966,-0.834243,-0.212688,-14.9238653
-52.1697269,3.522347,6.8475748,65.480145,-0.9508965,-0.2467596,-12.8657494
-51.7447031,3.7856631,5.8333036,65.9799934,-1.0851134,-0.2914586,-10.8076335
-51.2952093,3.981073,4.8190324,66.4798419,-1.2404929,-0.3424297,-8.7495176
-50.8253612,4.0977254,3.8047613,66.9796903,-1.4181111,-0.3881571,2.4014689
